TF_Name,GSM_ID,Subgroup
ZKSCAN1,GSM2423103,t098_cluster_10301
ZKSCAN3,GSM5215336,t098_cluster_10301
ZKSCAN4,GSM3402702,t098_cluster_10301
ZKSCAN7,GSM3402701,t098_cluster_10301
ZKSCAN8,GSM2534469,t098_cluster_10301
ZNF165,GSM5330712,t098_cluster_10301
ZNF197,GSM2466491,t098_cluster_10301
ZNF232,GSM5214562,t098_cluster_10301
ZNF24,GSM2827518,t098_cluster_10301
ZNF287,GSM2466520,t098_cluster_10301
ZNF397,GSM5214787,t098_cluster_10301
ZSCAN12,GSM5669608,t098_cluster_10301
ZSCAN16,GSM2026868,t098_cluster_10301
ZSCAN21,GSM2825590,t098_cluster_10301
ZSCAN22,GSM2026754,t098_cluster_10301
ZSCAN23,GSM2423872,t098_cluster_10301
ZSCAN26,GSM2827159,t098_cluster_10301
ZSCAN30,GSM5214362,t098_cluster_10301
ZSCAN31,GSM5214630,t098_cluster_10301
ZSCAN9,GSM2534346,t098_cluster_10301
ZKSCAN5,GSM5214972,t098_cluster_10301
ZNF483,GSM5214170,t098_cluster_10301
ZNF174,GSM5214339,t098_cluster_10301
