TF_Name,GSM_ID,Subgroup
ZNF20,GSM5213968,t098_cluster_10308
ZNF433,GSM2466556,t098_cluster_10308
ZNF439,GSM2466557,t098_cluster_10308
ZNF44,GSM5215095,t098_cluster_10308
ZNF440,GSM2466558,t098_cluster_10308
ZNF441,GSM5215741,t098_cluster_10308
ZNF442,GSM2466560,t098_cluster_10308
ZNF443,GSM2466561,t098_cluster_10308
ZNF491,GSM2828996,t098_cluster_10308
ZNF563,GSM2026838,t098_cluster_10308
ZNF69,GSM2466636,t098_cluster_10308
ZNF700,GSM5215466,t098_cluster_10308
ZNF763,GSM3402716,t098_cluster_10308
ZNF799,GSM2466668,t098_cluster_10308
ZNF823,GSM2466675,t098_cluster_10308
