TF_Name,GSM_ID,Subgroup
ZNF100,GSM2466467,t098_cluster_10306
ZNF254,GSM2466505,t098_cluster_10306
ZNF257,GSM2466506,t098_cluster_10306
ZNF273,GSM2466513,t098_cluster_10306
ZNF429,GSM2466552,t098_cluster_10306
ZNF430,GSM5669259,t098_cluster_10306
ZNF431,GSM2466554,t098_cluster_10306
ZNF492,GSM2466575,t098_cluster_10306
ZNF675,GSM2466628,t098_cluster_10306
ZNF680,GSM2466630,t098_cluster_10306
ZNF681,GSM2466631,t098_cluster_10306
ZNF708,GSM2466640,t098_cluster_10306
ZNF714,GSM2466641,t098_cluster_10306
ZNF724,GSM3402714,t098_cluster_10306
ZNF730,GSM2466643,t098_cluster_10306
ZNF85,GSM2026800,t098_cluster_10306
ZNF92,GSM1463921,t098_cluster_10306
ZNF493,GSM2827531,t098_cluster_10306
ZNF729,GSM3402715,t098_cluster_10306
ZNF138,GSM5215074,t098_cluster_10306
