TF_Name,GSM_ID,Cluster_ID,Cluster_Type,TF_Count_in_Cluster,Single_Test_ROC_AUC,MTL_Test_ROC_AUC,Delta_ROC_AUC,Single_F1
ADNP,GSM5215548,479,Single,1,0.9432364444444445,0.9422827777777776,-0.0009536666666669635,0.85817680510081
AFF1,GSM2364545,630,Single,1,0.977637888888889,0.9777579444444444,0.00012005555555538727,0.9314575494847047
AFF4,GSM1405081,631,Single,1,0.9553618888888891,0.9529811111111112,-0.0023807777777778982,0.8746498599439776
AHR,GSM4558333,384,Single,1,0.978491111111111,0.9775215555555556,-0.0009695555555553348,0.9392779903510231
AKNA,GSM5215207,608,Single,1,0.9583774946921444,0.9579674451521584,-0.0004100495399860238,0.8665926748057714
ARID1B,GSM2424019,617,MTL,2,0.9238270000000001,0.9236237777777778,-0.0002032222222222435,0.8339350180505415
ARID3A,GSM2574781,744,Single,1,0.9333793103448277,0.932878881454795,-0.0005004288900326559,0.8128430296377607
ARID3B,GSM5215174,745,Single,1,0.9484352473278648,0.9575172756649266,0.009082028337061843,0.8317651486639067
ARID4A,GSM5215315,558,Single,1,0.9729025555555555,0.9729761111111112,7.355555555565996e-05,0.9008761381205979
ARID4B,GSM2534717,559,Single,1,0.9668463333333333,0.9655311666666666,-0.001315166666666645,0.8916955017301038
ARNT,GSM1462476,504,Single,1,0.9618611111111113,0.96375,0.0018888888888887179,0.8871080139372822
AR,GSM980658,741,Single,1,0.9489004444444444,0.9514245,0.002524055555555571,0.880852437843074
ATF1,GSM1861935,495,MTL,2,0.9659127777777778,0.9732864444444445,0.007373666666666612,0.8984388114822898
ATF3,GSM1917770,650,Single,1,0.9847919444444444,0.9836973888888888,-0.0010945555555555986,0.9385346664481232
ATF6,GSM5214216,434,Single,1,0.963138,0.9622262222222222,-0.0009117777777778446,0.9039934800325998
ATF7,GSM2828822,652,MTL,2,0.9486081666666666,0.9458697777777778,-0.0027383888888887764,0.8663082437275985
ATOH8,GSM5215678,540,Single,1,0.9307513225646008,0.9321607347470832,0.0014094121824823613,0.722397476340694
Aebp2,GSM3908365,564,Single,1,0.8762923351158645,0.8253119429590018,-0.050980392156862675,0.5625
Arid1a,GSM3499207,617,MTL,2,0.9325931111111111,0.9345602777777776,0.00196716666666652,0.8509038840164668
Arid2,GSM2495986,503,Single,1,0.9612596666666667,0.9618415555555556,0.0005818888888888818,0.899666139518538
Arid5b,GSM2797486,641,Single,1,0.9206357777777778,0.917126,-0.003509777777777834,0.8081031307550645
Arntl,GSM2983900,505,Single,1,0.9526798888888888,0.9532743333333332,0.000594444444444453,0.9016527573228604
Ascl1,GSM4654881,748,Single,1,0.9807988888888888,0.9802233888888888,-0.000575499999999951,0.9237141870900932
Atf2,GSM2824378,652,MTL,2,0.9931887222222221,0.9929646666666668,-0.00022405555555526924,0.9808403361344538
Atf4,GSM4066026,404,Single,1,0.898126,0.8969902777777778,-0.0011357222222221353,0.8076066472502998
Atf5,GSM5214942,603,Single,1,0.9729143888888889,0.9735625555555556,0.0006481666666666719,0.8960878031510002
BATF2,GSM1643142,400,Single,1,0.9275491949910554,0.9015461282903144,-0.02600306670074093,0.6292134831460674
BATF,GSM803538,398,Single,1,0.9535002222222222,0.9551452222222224,0.0016450000000002296,0.8879135719108711
BCL6B,GSM2827437,349,MTL,2,0.9010600255427843,0.9093595146871007,0.008299489144316441,0.8084512656966315
BCL6,GSM763404,349,MTL,2,0.9708852222222222,0.9727280555555556,0.0018428333333334601,0.923921821999677
BNC2,GSM5330896,639,Single,1,0.8950461111111111,0.8886821666666667,-0.006363944444444436,0.8107387026846756
Bach1,GSM2827284,388,Single,1,0.9591107222222223,0.9586226666666668,-0.00048805555555542224,0.8937779305603301
Bach2,GSM5667482,550,Single,1,0.902347757284732,0.8890374331550802,-0.01331032412965183,0.6462882096069869
Batf3,GSM4815741,399,Single,1,0.9641859999999999,0.9641520555555556,-3.394444444426714e-05,0.9105191256830601
Bcl11a,GSM803388,55,Single,1,0.9517007777777777,0.949326388888889,-0.0023743888888887454,0.885408342656225
Bclaf1,GSM803509,637,Single,1,0.9456355,0.950387388888889,0.004751888888889,0.8768939393939394
Bhlhe40,GSM2828892,581,MTL,2,0.9625945555555555,0.9616176666666668,-0.000976888888888694,0.9063282684922358
Bhlhe41,GSM2515691,581,MTL,2,0.9211925925925926,0.9121654320987652,-0.009027160493827346,0.7065420560747664
Brg,GSM3526000,582,Single,1,0.9291787222222222,0.9299925555555556,0.0008138333333334025,0.8549214226633581
CAMTA2,GSM5330758,615,Single,1,0.9712709999999998,0.9712147777777778,-5.622222222201323e-05,0.9127906976744186
