TF_Name,GSM_ID,Cluster_ID,Cluster_Type,TF_Count_in_Cluster,Single_ROC_AUC,MTL_ROC_AUC,Delta_ROC_AUC,Single_PR_AUC,MTL_PR_AUC,Delta_PR_AUC,Single_Accuracy,MTL_Accuracy,Delta_Accuracy,Single_Precision,MTL_Precision,Delta_Precision,Single_Recall,MTL_Recall,Delta_Recall,Single_F1,MTL_F1,Delta_F1,Single_MCC,MTL_MCC,Delta_MCC
AFF1,GSM2364545,333,MTL,2,0.977637888888889,0.9775876666666666,-5.022222222239581e-05,0.9765434907543544,0.97643291162872,-0.00011057912563439132,0.9301666666666667,0.9285,-0.0016666666666667052,0.9145518792161902,0.9255213505461768,0.010969471329986602,0.949,0.932,-0.016999999999999904,0.9314575494847047,0.9287493771798704,-0.002708172304834333,0.8609442944311807,0.8570209972716529,-0.003923297159527772
AFF4,GSM1405081,333,MTL,2,0.9553618888888891,0.9527631666666666,-0.0025987222222224604,0.9570503327895968,0.9530855971452478,-0.003964735644349071,0.8806666666666667,0.884,0.0033333333333332993,0.9210914454277286,0.9070671378091872,-0.014024307618541343,0.8326666666666667,0.8556666666666667,0.02300000000000002,0.8746498599439776,0.8806174957118353,0.0059676357678577485,0.7648659939230756,0.7692360442711393,0.004370050348063703
ARID1B,GSM2424019,326,MTL,2,0.9238270000000001,0.9203411111111112,-0.0034858888888888995,0.9308958318143857,0.9267950332324552,-0.004100798581930576,0.8466666666666667,0.8535,0.006833333333333358,0.9094488188976378,0.8748674443266172,-0.03458137457102062,0.77,0.825,0.05499999999999994,0.8339350180505415,0.8492022645393721,0.0152672464888306,0.7016304477063442,0.7081513277587411,0.006520880052396927
ARID3A,GSM2574781,407,MTL,2,0.9333793103448277,0.9319545376565448,-0.0014247726882828937,0.9050387712109992,0.8998272201056827,-0.005211551105316459,0.8620271090430912,0.8600040461258345,-0.002023062917256735,0.8706643151087595,0.8564102564102564,-0.014254058698503158,0.7622233659289758,0.7735460627895008,0.011322696860525006,0.8128430296377607,0.8128718226068145,2.879296905378137e-05,0.7082527454461742,0.7038216047390113,-0.004431140707162884
ARID3B,GSM5215174,407,MTL,2,0.9484352473278648,0.956290579169774,0.00785533184190923,0.9023242003091076,0.9253013988840236,0.02297719857491598,0.8970283344851416,0.9023266528449666,0.005298318359824972,0.8396656534954408,0.896969696969697,0.05730404347425622,0.8240119313944817,0.7725577926920209,-0.05145413870246085,0.8317651486639067,0.8301282051282052,-0.0016369435357015405,0.7576533801285938,0.7663031338714096,0.008649753742815736
ARID4A,GSM5215315,276,MTL,2,0.9729025555555555,0.9759825,0.0030799444444444823,0.9696775549627349,0.9719610582733024,0.0022835033105674807,0.9038333333333334,0.9186666666666666,0.014833333333333254,0.9294576391350585,0.9128862590401052,-0.016571380094953292,0.874,0.9256666666666666,0.05166666666666664,0.9008761381205979,0.9192320423700762,0.018355904249478305,0.8091082083841716,0.8374154040645946,0.028307195680422947
ARID4B,GSM2534717,276,MTL,2,0.9668463333333333,0.9722033888888888,0.0053570555555555455,0.9642958799531086,0.9710370473476496,0.006741167394541003,0.8956666666666667,0.9126666666666666,0.016999999999999904,0.926978417266187,0.8910296904611498,-0.035948726805037245,0.859,0.9403333333333334,0.08133333333333337,0.8916955017301038,0.9150178397664612,0.023322338036357415,0.7934697615399191,0.8265997357882635,0.03312997424834441
AR,GSM980658,405,MTL,4,0.9489004444444444,0.9585761111111112,0.009675666666666749,0.9504124732580893,0.9601320303469386,0.009719557088849307,0.877,0.8921666666666667,0.015166666666666662,0.8541014402003757,0.8752791068580542,0.021177666657678507,0.9093333333333333,0.9146666666666666,0.005333333333333301,0.880852437843074,0.8945395273023635,0.013687089459289536,0.755581492040547,0.7851286789685618,0.029547186928014724
ATF1,GSM1861935,226,MTL,3,0.9659127777777778,0.976754,0.010841222222222169,0.9618244639873004,0.9756959564451728,0.013871492457872447,0.8991666666666667,0.9213333333333332,0.022166666666666557,0.9049712546499831,0.9401114206128134,0.035140165962830316,0.892,0.9,0.008000000000000007,0.8984388114822898,0.9196185286103542,0.021179717128064435,0.7984153525454174,0.8434347294134938,0.045019376868076444
ATF3,GSM1917770,346,MTL,2,0.9847919444444444,0.9846710555555556,-0.00012088888888883709,0.9848293573013085,0.9846354947278368,-0.00019386257347164815,0.9375,0.9421666666666668,0.004666666666666819,0.9232505643340858,0.93278955954323,0.009538995209144141,0.9543333333333334,0.953,-0.0013333333333334085,0.9385346664481232,0.9427864798021436,0.004251813354020362,0.8754963038839771,0.8845409791300035,0.009044675246026368
ATF7,GSM2828822,347,MTL,3,0.9486081666666666,0.9486315555555556,2.33888888889755e-05,0.9524088782125577,0.953367575654765,0.0009586974422073347,0.8756666666666667,0.8866666666666667,0.01100000000000001,0.9368217054263566,0.901940401940402,-0.03488130348595453,0.8056666666666666,0.8676666666666667,0.062000000000000055,0.8663082437275985,0.8844716275908936,0.01816338386329508,0.7588064358159313,0.7738922854180035,0.015085849602072154
Arid1a,GSM3499207,326,MTL,2,0.9325931111111111,0.933848,0.0012548888888889165,0.9413987479097226,0.9422734120895384,0.0008746641798158539,0.8611666666666666,0.8621666666666666,0.0010000000000000009,0.9188248936992656,0.9046554934823092,-0.01416940021695634,0.7923333333333333,0.8096666666666666,0.01733333333333331,0.8509038840164668,0.8545294635004398,0.003625579483973018,0.7292770602161168,0.7283595433136598,-0.0009175169024570051
Atf2,GSM2824378,347,MTL,3,0.9931887222222221,0.9925114444444444,-0.0006772777777777073,0.9952247256773945,0.9947721813593318,-0.000452544318062742,0.981,0.9806666666666668,-0.0003333333333331856,0.9891525423728813,0.9851951547779272,-0.00395738759495412,0.9726666666666667,0.976,0.0033333333333332993,0.9808403361344538,0.9805760214333556,-0.0002643147010981117,0.9621336389532044,0.961375207476538,-0.0007584314766663214
BATF,GSM803538,150,MTL,2,0.9535002222222222,0.960347777777778,0.006847555555555829,0.9567131749288716,0.963909393884908,0.007196218956036393,0.8893333333333333,0.9,0.010666666666666713,0.899452804377565,0.907055630936228,0.007602826558662956,0.8766666666666667,0.8913333333333333,0.014666666666666606,0.8879135719108711,0.8991257565568258,0.011212184645954748,0.7789166524810908,0.8001202048646189,0.021203552383528113
BCL6B,GSM2827437,112,MTL,2,0.9010600255427843,0.908439974457216,0.007379948914431722,0.8975765721877128,0.9060189428416696,0.00844237065395681,0.828698752228164,0.83475935828877,0.006060606060605989,0.8425425841296219,0.865392965696917,0.02285038156729513,0.7770114942528735,0.7636015325670498,-0.013409961685823757,0.8084512656966315,0.8113169143089762,0.002865648612344729,0.6557383704011033,0.6694793645899687,0.01374099418886543
BCL6,GSM763404,112,MTL,2,0.9708852222222222,0.9681294444444444,-0.0027557777777778014,0.9641194733302623,0.9599197609330846,-0.004199712397177646,0.9215,0.9145,-0.007000000000000006,0.8962707615167659,0.895641107222399,-0.0006296542943668992,0.9533333333333334,0.9383333333333334,-0.015000000000000013,0.923921821999677,0.91649031417874,-0.007431507820936933,0.8447137385046141,0.8299433979890843,-0.014770340515529723
Batf3,GSM4815741,150,MTL,2,0.9641859999999999,0.9666779444444444,0.0024919444444445604,0.969776927169578,0.9716535494135864,0.001876622244008419,0.9126666666666666,0.9225,0.00983333333333336,0.9334733893557423,0.9336298323640096,0.00015644300826733737,0.8886666666666667,0.9096666666666666,0.020999999999999908,0.9105191256830601,0.9214924869154144,0.010973361232354262,0.826285763448931,0.8452784712066489,0.018992707757717886
Bcl11a,GSM803388,44,MTL,2,0.9517007777777777,0.9509041111111112,-0.0007966666666665567,0.9528052176821287,0.9528087145515616,3.49686943290628e-06,0.8805,0.8703333333333333,-0.010166666666666657,0.8504758980657047,0.920196671709531,0.06972077364382634,0.9233333333333333,0.811,-0.11233333333333329,0.885408342656225,0.8621545003543586,-0.023253842301866445,0.763807869176803,0.7459373495960598,-0.01787051958074315
