metric,value,unit,note
n_tfs,767,TFs,evaluated TFs (204 t098 clusters)
n_clusters,204,clusters,MTL task groups
backbone_params,2400000,params,shared CBR-KAN backbone per cluster
head_params,82560,params,per-TF KAN head
single_total_params,1904124000,params,767 x (backbone + head)
mtl_total_params,552923520,params,204 x backbone + 767 x head
param_reduction_pct,70.96,percent,1 - mtl_total/single_total
single_train_time_h,191.75,hours,767 TFs x 15 min per model
mtl_train_time_h,52.4,hours,166-cluster batch 38.0 h + 38 subclusters 14.4 h
train_speedup_x,3.66,x,single_time / mtl_time
deploy_full_min,15,minutes,full model from scratch (2.5M params)
deploy_head_min,1,minutes,head-only fine-tune (82K params)
deploy_speedup_x,15,x,deploy_full / deploy_head
t092_speedup_x,14.0,x,t092 projection for 1016 TFs
