New_ID,Old_ID,N_TF,Single_Mean_AUC,MTL_Mean_AUC,Mean_DeltaAUC,SD_DeltaAUC,Positive_Rate(%),Pos_Count,Mean_DeltaPR,Mean_DeltaMCC,Mean_DeltaF1,Best_DeltaAUC,Worst_DeltaAUC,Families
C10301,10301,23,0.9436247997404845,0.9555157796144873,0.01189097987400263,0.017338206947570493,86.95652173913044,20,0.009861664856599487,0.03034798020027904,0.014054226084709057,0.048212121212121,-0.037338340486409,
C10302,10302,21,0.9397673024486518,0.9578053441019214,0.01803804165326971,0.03684829925800819,90.47619047619048,19,0.021541589190128444,0.03266956198963701,0.027869358386272063,0.1161845339383623,-0.0897836109302473,
C10303,10303,21,0.9511028625986606,0.9623680548191534,0.011265192220493108,0.00853713441557479,95.23809523809523,20,0.01955616285369453,0.04244725417912455,0.028996026912197027,0.0302104285935324,-0.006095513965886,
C10304,10304,20,0.9457240306237521,0.9525707223746898,0.006846691750937485,0.007472239970827493,85.0,17,0.01233874622626595,0.02545561434082936,0.018139768469741004,0.0181268888888888,-0.0123392925170813,
C10305,10305,20,0.9420209659758193,0.9456305672095559,0.0036096012337363897,0.01946155885409718,85.0,17,0.0018521269953490995,0.014450075815616244,-0.0005515040306186315,0.0223190782750235,-0.0529116598623715,
C10306,10306,20,0.9532015561865895,0.9630336592593605,0.009832103072770685,0.019735921813416987,90.0,18,0.01889123842755905,0.027047306604912547,0.021216726084632147,0.0571993688976286,-0.0469306515818142,
C104,104,16,0.9521122201649239,0.963736362386623,0.011624142221699024,0.014077447193625324,100.0,16,0.017262342371036937,0.026329107972652206,0.01841000116575605,0.0532879818594105,0.0015455,
C10307,10307,16,0.9343606507899845,0.9636865861373918,0.029325935347407246,0.0374501507622556,100.0,16,0.05942974583632482,0.07963525019838244,0.06661586975285427,0.1119991119991119,8.588888888894086e-05,
C10308,10308,15,0.9259813800817477,0.9591244771663701,0.0331430970846224,0.04112255902485382,93.33333333333333,14,0.0680275742764052,0.060078720391242055,0.05279541238455835,0.1312282488753077,-0.0077573652962923,
C10309,10309,12,0.9649315698436184,0.9737990112578064,0.008867441414188276,0.006799848471023343,100.0,12,0.016836821482887853,0.03100644939013265,0.02512183185600007,0.0223542727787209,0.000523209409788,
C64,64,11,0.9717867143685095,0.9807310633619568,0.008944348993447327,0.0048231479441636915,100.0,11,0.012644894173431937,0.05188320116031506,0.032767278891706476,0.0167210000000002,0.0027597777777778,
C10310,10310,10,0.9617930769484728,0.9689009985173935,0.00710792156892086,0.007946973953514421,90.0,9,0.02063417260211088,0.026855703944727284,0.02612580397970225,0.0177228974917447,-0.0117855406625462,
C388,388,9,0.9310224439008066,0.9435324066403372,0.012509962739530568,0.0047960556170595706,100.0,9,0.016929956257261666,0.04081409968756978,0.03246698592231231,0.0231634320735444,0.0074109794305954,
C10311,10311,9,0.9543799374001541,0.9619593803274932,0.007579442927338833,0.008262639240447341,88.88888888888889,8,0.011679219540256677,0.02366566775812869,0.018491051311123344,0.0264777327935221,-0.0024971256108078,
C10312,10312,8,0.958912348882043,0.9769066277862964,0.017994278904253397,0.02516494322772446,87.5,7,0.03507795541205566,0.023361777260687874,0.02562119619903785,0.0666603511431096,-0.0010309999999998,
C10313,10313,7,0.9503950197606298,0.9566253144926876,0.006230294732057699,0.004084033550031994,85.71428571428571,6,0.011497996536721058,0.024708776847222315,0.017900705032515157,0.0113495704092033,-0.000586833333333,
C10314,10314,7,0.9579704322237751,0.9675246251566583,0.009554192932883215,0.004810379815224672,100.0,7,0.015701478332970885,0.028529250494538087,0.012707106289969513,0.0163147777777776,0.0018767777777777,
C10315,10315,7,0.942387473310454,0.9527037861108372,0.010316312800383042,0.007411467169174966,100.0,7,0.015073559305513485,0.03144036310927868,0.02113828383053834,0.0209916340471257,0.0012733888888888,
C10316,10316,7,0.9331873256704959,0.9542188080385883,0.021031482368092356,0.03833027773442703,71.42857142857143,5,0.05310308267398727,0.07544575457440093,0.0817446370593714,0.0998478338703903,-0.0082567396524599,
C14,14,6,0.961946484126984,0.9658411164021162,0.0038946322751322,0.0016636966349029413,100.0,6,0.004419085545659201,0.0116821942773623,0.006794651387123616,0.0066372222222222,0.0015179999999999,
C99,99,6,0.9477353243603316,0.9360559929032438,-0.011679331457087648,0.03758077939514003,50.0,3,0.004547654301291633,0.1852121136818855,0.15815104989967457,0.0098372777777776,-0.0876116071428571,
C118,118,6,0.9688719392483612,0.9735571599910401,0.004685220742678849,0.009934500364534348,66.66666666666666,4,0.01009573306167062,0.007978752886453734,0.009884296429588232,0.0233913970849628,-0.0035091063475833,
C282,282,6,0.9663942563290844,0.9722071347923009,0.005812878463216184,0.0033166334339385485,100.0,6,0.006003935824098867,0.022213008880682616,0.011091528812574634,0.0105607026966543,0.001678722222222,
C380,380,6,0.9368936562378559,0.9406650749817862,0.003771418743930333,0.0031212503464186775,83.33333333333334,5,0.005734485419596633,0.015928768028502967,0.009706308306285218,0.0090047502170572,-0.0004384444444445,
C10317,10317,6,0.9263139843766491,0.9369574906938203,0.010643506317171184,0.02183228417401729,66.66666666666666,4,0.021164622463728716,0.01634923586532955,0.019886061404150248,0.0546916779793491,-0.0019463986599664,
C10318,10318,6,0.9674983477012162,0.9787610592072271,0.011262711506010901,0.013521346145707233,83.33333333333334,5,0.03662795914912458,0.06423717540045548,0.06324507100844323,0.0355276781199587,-0.0005005555555557,
C10319,10319,6,0.9558958374654879,0.9564224160647569,0.0005265785992689329,0.01107383016734261,83.33333333333334,5,0.008849583248182734,0.04607581228337513,0.03628924986620675,0.0129476136302073,-0.0203947083724705,
