New_Cluster_ID,Old_Cluster_ID,Cluster_Size,TF_Name,Family,Subgroup,ROC_AUC,PR_AUC,MCC,GSM_ID
C001,10301,23,ZKSCAN1,Unknown/Other,Unknown/Other,0.956539484357192,0.8774686682218044,0.7503480944012118,GSM2423103
C001,10301,23,ZKSCAN3,Unknown/Other,Unknown/Other,0.8670354187970624,0.6065027865441917,0.5331794998895832,GSM5215336
C001,10301,23,ZKSCAN4,Unknown/Other,Unknown/Other,0.9268686868686868,0.8349318676166201,0.7798707676320468,GSM3402702
C001,10301,23,ZKSCAN7,Unknown/Other,Unknown/Other,0.9558848723659414,0.8091613818926067,0.682769273577642,GSM3402701
C001,10301,23,ZKSCAN8,Unknown/Other,Unknown/Other,0.9361118026740434,0.8174754610293763,0.676122519704913,GSM2534469
C001,10301,23,ZNF165,C2H2 Zinc Finger,ZNF,0.9338294026148736,0.8292957131467866,0.6833131950698582,GSM5330712
C001,10301,23,ZNF197,C2H2 Zinc Finger,ZNF,0.8600000000000001,0.6354540317120508,0.4957526900497897,GSM2466491
C001,10301,23,ZNF232,C2H2 Zinc Finger,ZNF,0.951489565514882,0.9135904134813172,0.7475988363535979,GSM5214562
C001,10301,23,ZNF24,C2H2 Zinc Finger,ZNF,0.9030079978310964,0.75393921198274,0.6138787627412006,GSM2827518
C001,10301,23,ZNF287,C2H2 Zinc Finger,ZNF,0.849828510908184,0.4891027352642434,0.4560835714684456,GSM2466520
C001,10301,23,ZNF397,C2H2 Zinc Finger,ZNF,0.8948792034975471,0.6917546573681985,0.5831149150179741,GSM5214787
C001,10301,23,ZSCAN12,Unknown/Other,Unknown/Other,0.9632539387172808,0.937572957857388,0.8042861938120744,GSM5669608
C001,10301,23,ZSCAN16,Unknown/Other,Unknown/Other,0.979914072404564,0.9508286808460736,0.8676378198043823,GSM2026868
C001,10301,23,ZSCAN21,Unknown/Other,Unknown/Other,0.9081851464435148,0.7553842905274584,0.6297572370565959,GSM2825590
C001,10301,23,ZSCAN22,Unknown/Other,Unknown/Other,0.9612661408241862,0.9311197865645428,0.7851322401548917,GSM2026754
C001,10301,23,ZSCAN23,Unknown/Other,Unknown/Other,0.9083094922876108,0.77320695466777,0.6632927354299245,GSM2423872
C001,10301,23,ZSCAN26,Unknown/Other,Unknown/Other,0.956227218840882,0.8809581404125587,0.8039605213964541,GSM2827159
C001,10301,23,ZSCAN30,Unknown/Other,Unknown/Other,0.9588078994614004,0.9302359286052024,0.7798276182392729,GSM5214362
C001,10301,23,ZSCAN31,Unknown/Other,Unknown/Other,0.9700223552894212,0.951880821463582,0.806259481238759,GSM5214630
C001,10301,23,ZSCAN9,Unknown/Other,Unknown/Other,0.953552869691566,0.8667507173569063,0.7391320838386282,GSM2534346
C001,10301,23,ZKSCAN5,Unknown/Other,Unknown/Other,0.947304036841074,0.8906770136712732,0.7160366136844207,GSM5214972
C001,10301,23,ZNF483,C2H2 Zinc Finger,ZNF,0.9392719233603536,0.8739421445152349,0.7039505234655369,GSM5214170
C001,10301,23,ZNF174,C2H2 Zinc Finger,ZNF,0.8548629531388153,0.607859198845358,0.5788218771743723,GSM5214339
C002,10302,21,ZFP14,C2H2 Zinc Finger,ZFP,0.8397383720930232,0.6188189774898721,0.5499748049281018,GSM2466448
C002,10302,21,ZFP30,C2H2 Zinc Finger,ZFP,0.9241087155640104,0.7940665957647877,0.6399329850239752,GSM5215188
C002,10302,21,ZFP82,C2H2 Zinc Finger,ZFP,0.9659107515017776,0.9403076400722664,0.8054890480005509,GSM5215268
C002,10302,21,ZNF140,C2H2 Zinc Finger,ZNF,0.9612285444958928,0.8617008414344746,0.7954538749878819,GSM2423519
C002,10302,21,ZNF283,C2H2 Zinc Finger,ZNF,0.9339267015706806,0.8576573207260008,0.7629827613743203,GSM2466517
C002,10302,21,ZNF30,C2H2 Zinc Finger,ZNF,0.980614170526677,0.9743954951074264,0.8649865289395837,GSM5214975
C002,10302,21,ZNF331,C2H2 Zinc Finger,ZNF,0.9354238683127571,0.8320590098597969,0.6808964477704624,GSM2797677
