New_ID,Old_ID,Cluster_Size,TF_List,Avg_ROC_AUC,Families
C001,10301,23,ZKSCAN1;ZKSCAN3;ZKSCAN4;ZKSCAN7;ZKSCAN8;ZNF165;ZNF197;ZNF232;ZNF24;ZNF287;ZNF397;ZSCAN12;ZSCAN16;ZSCAN21;ZSCAN22;ZSCAN23;ZSCAN26;ZSCAN30;ZSCAN31;ZSCAN9;ZKSCAN5;ZNF483;ZNF174,0.9277,C2H2 Zinc Finger;Unknown/Other
C002,10302,21,ZFP14;ZFP30;ZFP82;ZNF140;ZNF283;ZNF30;ZNF331;ZNF383;ZNF404;ZNF529;ZNF540;ZNF546;ZNF565;ZNF566;ZNF571;ZNF573;ZNF582;ZNF780A;ZNF790;ZNF850;ZNF607,0.9125,C2H2 Zinc Finger
C003,10303,21,ZIK1;ZNF132;ZNF134;ZNF154;ZNF17;ZNF211;ZNF256;ZNF304;ZNF416;ZNF419;ZNF530;ZNF547;ZNF548;ZNF549;ZNF551;ZNF671;ZNF749;ZNF772;ZNF773;ZNF792;ZNF584,0.9379,C2H2 Zinc Finger;Unknown/Other
C004,10304,20,RBAK;ZFP1;ZNF12;ZNF182;ZNF248;ZNF26;ZNF300;ZNF334;ZNF33A;ZNF33B;ZNF37A;ZNF382;ZNF510;ZNF567;ZNF605;ZNF624;ZNF674;ZNF782;ZNF84;ZNF658,0.9282,C2H2 Zinc Finger;Unknown/Other
C005,10305,20,ZNF135;ZNF157;ZNF184;ZNF189;ZNF250;ZNF34;ZNF391;ZNF436;ZNF454;ZNF501;ZNF502;ZNF660;ZNF7;ZNF70;ZNF71;ZNF79;ZNF883;Zfp3;ZNF473;Zfp62,0.9205,C2H2 Zinc Finger
C006,10306,20,ZNF100;ZNF254;ZNF257;ZNF273;ZNF429;ZNF430;ZNF431;ZNF492;ZNF675;ZNF680;ZNF681;ZNF708;ZNF714;ZNF724;ZNF730;ZNF85;ZNF92;ZNF493;ZNF729;ZNF138,0.9155,C2H2 Zinc Finger
C007,104,16,GLI4;ZNF205;ZNF22;ZNF322;ZNF48;ZNF572;ZNF629;ZNF691;ZNF696;ZNF697;ZNF75A;ZNF75D;ZNF768;ZNF774;ZNF837;ZSCAN2,0.9363,C2H2 Zinc Finger;Unknown/Other
C008,10307,16,ZNF112;ZNF155;ZNF214;ZNF221;ZNF222;ZNF223;ZNF224;ZNF225;ZNF227;ZNF230;ZNF234;ZNF235;ZNF239;ZNF284;ZNF285;ZNF45,0.9351,C2H2 Zinc Finger
C009,10308,15,ZNF20;ZNF433;ZNF439;ZNF44;ZNF440;ZNF441;ZNF442;ZNF443;ZNF491;ZNF563;ZNF69;ZNF700;ZNF763;ZNF799;ZNF823,0.9148,C2H2 Zinc Finger
C010,10309,12,ZNF28;ZNF320;ZNF468;ZNF525;ZNF578;ZNF611;ZNF701;ZNF761;ZNF765;ZNF808;ZNF816;ZNF860,0.9419,C2H2 Zinc Finger
C011,64,11,KLF1;KLF10;KLF11;KLF12;KLF3;KLF5;KLF7;KLF9;Klf16;Klf4;Klf6,0.9647,C2H2 Zinc Finger
C012,10310,10,ZNF124;ZNF136;ZNF490;ZNF564;ZNF627;ZNF669;ZNF670;ZNF709;ZNF791;ZNF101,0.9398,C2H2 Zinc Finger
C013,388,9,HOXA3;HOXA5;HOXA7;HOXB5;HOXB7;HOXC5;Hoxa9;Hoxb8;Hoxc9,0.9297,Homeodomain
C014,10311,9,ZNF160;ZNF480;ZNF528;ZNF534;ZNF610;ZNF616;ZNF766;ZNF83;ZNF880,0.9482,C2H2 Zinc Finger
C015,10312,8,ZNF121;ZNF266;ZNF426;ZNF560;ZNF561;ZNF562;ZNF778;ZNF846,0.9498,C2H2 Zinc Finger
C016,10313,7,ZNF350;ZNF432;ZNF613;ZNF614;ZNF615;ZNF649;ZNF793,0.9352,C2H2 Zinc Finger
C017,10314,7,ZFP37;ZNF146;ZNF25;ZNF260;ZNF329;ZNF35;ZNF569,0.9532,C2H2 Zinc Finger
C018,10315,7,ZNF177;ZNF317;ZNF333;ZNF557;ZNF558;ZNF8;ZNF891,0.9380,C2H2 Zinc Finger
C019,10316,7,ZNF253;ZNF486;ZNF506;ZNF626;ZNF737;ZNF90;ZNF93,0.9177,C2H2 Zinc Finger
C020,14,6,SMAD9;Smad1;Smad2;Smad3;Smad4;Smad5,0.9563,SMAD
C021,99,6,Prdm9;ZNF133;ZNF169;ZNF337;ZNF343;ZNF589,0.9273,C2H2 Zinc Finger;Unknown/Other
C022,118,6,ZNF212;ZNF282;ZNF398;ZNF746;ZNF777;ZNF783,0.9547,C2H2 Zinc Finger
C023,282,6,MAF;MAFB;MAFK;Maff;Mafg;NRL,0.9634,Unknown/Other
C024,380,6,Lef1;TCF3;TCF4;TCF7L1;TCF7L2;Tcf7,0.9118,Unknown/Other
C025,10317,6,ZNF354A;ZNF354B;ZNF354C;ZNF485;ZNF74;ZNF879,0.8972,C2H2 Zinc Finger
C026,10318,6,ZNF417;ZNF418;ZNF552;ZNF586;ZNF587;ZNF776,0.9093,C2H2 Zinc Finger
C027,10319,6,ZNF141;ZNF479;ZNF595;ZNF716;ZNF736;ZNF519,0.9188,C2H2 Zinc Finger
C028,100,5,ZKSCAN2;ZNF213;ZSCAN20;ZSCAN29;ZSCAN32,0.9256,C2H2 Zinc Finger;Unknown/Other
C029,255,5,POU2F2;POU2F3;POU3F2;Pou2f1;Pou5f1,0.9628,Unknown/Other
C030,284,5,E2F1;E2F2;E2F3;E2F4;E2F5,0.9656,bHLH
C031,359,5,GATA1;GATA3;Gata2;Gata4;Gata6,0.9473,GATA
C032,377,5,SOX15;SOX2;SOX21;SOX4;Sox11,0.8754,SOX
C033,411,5,TBX1;TBX18;TBX3;Tbx2;Tbx5,0.9028,Unknown/Other
