TF_Name,Subgroup,GSM_ID,Family,Function,Cell_Line,Species,Cistrome_ID,External_ID_Type,PBC,FRiP,MappedRatio,PeaksFoldChangeAbove10,PeaksUnionDHSRatio,FastQC,GC_Content_Mean,GC_Content_Median,GC_Content_Std,GC_Content_Min,GC_Content_Max,Total_Sequences,Avg_Sequence_Length,mcc,roc_auc,pr_auc,precision,recall,accuracy,f1,gsm,fold
ADNP,Unknown/Other,GSM5215548,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,153052,GEO,0.995,0.0292357190948772,0,414,0.8322,35,57.02,55.5,9.11,21,95.5,15000,200,0.5948745133993154,0.9183926565282916,0.7677955640426363,0.728993186979561,0.642,0.8594093622368835,0.6827366182204891,GSM5215548,0
AFF1,Unknown/Other,GSM2364545,Unknown/Other,Gene Regulation,SEM,homo_sapiens,73714,GEO,0.981,0.1778592499999555,0,2600,0.9386,34,65.53,65.5,8.89,21.5,90.5,15000,200,0.8587572904853604,0.9792756892230576,0.9704450697133122,0.9082687338501292,0.9373333333333334,0.9298036882807852,0.9225721784776902,GSM2364545,0
AFF4,Unknown/Other,GSM1405081,Unknown/Other,Gene Regulation,HeLa,homo_sapiens,48996,GEO,0.97,0.0868609999999782,0,830,0.9552,39,57.98,58.5,10.74,21.5,83.5,15000,200,0.7136160863698291,0.9375188969183488,0.874046161877736,0.7922511690046761,0.7906666666666666,0.886631598040994,0.7914581247914582,GSM1405081,0
AHR,Unknown/Other,GSM4558333,Unknown/Other,Gene Regulation,coronary artery,homo_sapiens,159715,GEO,0.986,0.1509253059977132,0,288,0.6008,40,64.6,65.5,9.01,17,95.5,15000,200,0.8756676604442809,0.9797100446750252,0.964069956063712,0.917925147734734,0.932,0.9404668240230788,0.9249090307641415,GSM4558333,0
AKNA,Unknown/Other,GSM5215207,Unknown/Other,Gene Regulation,Hep-G2,homo_sapiens,153370,GEO,0.994,0.0193805775223052,0,334,0.9292,35,59.42,60.5,9.67,17.5,95.5,11772,200,0.710853285398308,0.9353518189541978,0.8864046260949776,0.8167400881057268,0.7875955819881053,0.874965874965875,0.8019031141868512,GSM5215207,0
AR,Nuclear Receptor,GSM980658,Nuclear Receptor,"Hormone Response, Metabolism",VCaP,homo_sapiens,37094,GEO,0.895,0.5819404999998545,0,61942,0.9282,38,40.96,40,6.35,25,77,15000,200,0.7391874286590001,0.9526288585042472,0.8677286516982887,0.7430922986478542,0.8426666666666667,0.9151965725806452,0.7897532021243362,GSM980658,0
ARID1B,Nuclear Receptor,GSM2424019,Nuclear Receptor,"Hormone Response, Metabolism",K562,homo_sapiens,101046,GEO,0.926,0.1978844999999505,0,9995,0.9728,40,47.58,47,7.97,19.5,82.5,15000,200,0.6481821705334899,0.9167921859545004,0.7863128507055935,0.7617942768754834,0.6566666666666666,0.9001213592233009,0.7053347654851414,GSM2424019,0
ARID3A,Nuclear Receptor,GSM2574781,Nuclear Receptor,"Hormone Response, Metabolism",Hep-G2,homo_sapiens,74657,GEO,0.992,0.0304059999999924,0,728,0.9554,39,44.17,43.5,6.84,22,75.5,9713,200,0.585134862973696,0.901906018966914,0.7338328012646681,0.7329910141206675,0.588053553038105,0.8784243151369726,0.6525714285714286,GSM2574781,0
ARID3B,Nuclear Receptor,GSM5215174,Nuclear Receptor,"Hormone Response, Metabolism",K562,homo_sapiens,152887,GEO,0.994,0.0206833177179172,0,352,0.78,40,60.1,63,11.74,21,82,6702,200,0.730361407655524,0.9480921448072592,0.8836543028459668,0.8895238095238095,0.6970149253731344,0.90443061149762,0.7815899581589958,GSM5215174,0
ARID4A,Nuclear Receptor,GSM5215315,Nuclear Receptor,"Hormone Response, Metabolism",Hep-G2,homo_sapiens,152764,GEO,0.989,0.2993379874758505,0,9498,0.9716,36,64.4,65.5,9.89,21.5,95.5,15000,200,0.8259470644829917,0.9733120172999692,0.9625579058979464,0.9156794425087108,0.876,0.916074357572444,0.8954003407155026,GSM5215315,0
