Clustering threshold: 0.98
N_clusters: 479
Cluster_ID	TF_Name
1	Gtf2i
2	Nfyb
3	MAX
4	MLX
5	SP140
5	SP140L
6	DDIT3
7	IRF6
7	Irf5
8	IRF4
8	IRF9
8	Irf8
9	IRF3
10	Nme2
11	GRHL1
11	GRHL3
11	Grhl2
12	CSDE1
13	TFCP2
13	Tfcp2l1
13	UBP1
14	SMAD9
14	Smad1
14	Smad2
14	Smad3
14	Smad4
14	Smad5
15	ZNF524
15	ZNF580
16	CSDC2
17	MZF1
17	ZNF446
18	ZSCAN18
19	ZNF496
20	ZGPAT
21	ZBTB18
21	ZBTB3
21	ZBTB42
22	ZBTB44
23	ZBTB2
24	Zbtb1
25	PLAGL1
26	ZNF576
27	ZNF362
27	ZNF384
28	ZNF366
28	ZNF710
29	Maz
29	PATZ1
29	VEZF1
30	Prdm15
31	OVOL1
31	OVOL2
31	OVOL3
32	FEZF1
33	ZNF579
34	OSR2
35	KLF17
36	Prdm12
37	ZBTB11
38	ZNF770
39	ZNF142
40	ZNF646
41	Rest
42	Rreb1
43	IKZF4
43	Ikzf1
43	Ikzf2
44	Bcl11a
44	ZNF296
45	SALL2
45	Sall1
45	Sall3
45	Sall4
46	ZXDC
47	PRDM14
48	Prdm1
49	ZFP57
50	Glis1
50	Glis3
51	GLIS2
52	GLI2
53	ZEB1
53	ZEB2
54	ZBTB14
55	ZFP64
56	E4F1
57	ZNF217
58	ZNF516
59	ZFX
59	ZFY
59	ZNF711
60	ZBTB39
61	ZNF692
62	SP2
62	SP4
62	SP5
62	Sp1
63	EGR1
63	EGR3
63	Egr2
64	KLF1
64	KLF10
64	KLF11
64	KLF12
64	KLF3
64	KLF5
64	KLF7
64	KLF9
64	Klf16
64	Klf4
64	Klf6
65	Klf15
66	Klf13
67	Zbtb7a
67	Zbtb7b
68	ZIC5
68	Zic2
69	ZNF367
70	Prdm6
71	ZBTB17
72	ZNF131
73	ZNF148
73	ZNF281
74	ZNF740
75	ZNF319
76	ZNF865
77	ZNF784
78	ZNF219
79	GFI1B
79	Gfi1
80	SCRT1
80	SCRT2
80	SNAI2
80	Snai1
81	YY1
81	YY2
81	Zfp42
82	ZNF143
82	ZNF76
83	MTF1
84	GTF3A
85	CTCFL
85	Ctcf
86	Prdm5
87	ZBTB48
88	GZF1
89	ZBTB16
90	MYNN
90	ZBTB24
91	ZSCAN5A
91	ZSCAN5C
92	ZBTB49
93	ZNF747
93	ZNF764
93	ZNF785
94	ZNF707
95	ZNF425
95	ZNF786
96	Repin1
96	ZNF316
96	ZNF467
96	ZNF775
97	ZNF444
98	ZNF445
99	Prdm9
99	ZNF133
99	ZNF169
99	ZNF337
99	ZNF343
99	ZNF589
100	ZKSCAN2
100	ZNF213
100	ZSCAN20
100	ZSCAN29
100	ZSCAN32
101	ZNF18
102	ZNF274
104	GLI4
104	ZNF205
104	ZNF22
104	ZNF322
104	ZNF48
104	ZNF572
104	ZNF629
104	ZNF691
104	ZNF696
104	ZNF697
104	ZNF75A
104	ZNF75D
104	ZNF768
104	ZNF774
104	ZNF837
104	ZSCAN2
105	ZNF655
106	ZNF789
107	ZNF781
108	ZNF114
109	ZNF215
110	ZNF597
111	ZNF641
112	BCL6
112	BCL6B
113	ZNF513
114	ZNF652
115	ZNF410
116	ZSCAN4
117	ZIM2
118	ZNF212
118	ZNF282
118	ZNF398
118	ZNF746
118	ZNF777
118	ZNF783
119	ZNF526
119	ZNF574
120	ZNF408
121	ZBTB5
122	ZNF407
123	ZNF487
124	Mecom
125	ZBTB37
126	ZBTB43
127	HIC2
128	Zbtb21
129	ZBTB26
129	ZBTB6
129	Zbtb12
130	ZBTB20
131	ZBTB38
131	ZBTB4
132	ZBTB33
133	ZBTB46
133	ZBTB8A
134	ZBTB10
135	ZNF292
136	ZNF654
137	ZNF423
137	ZNF521
138	AHR
139	HIVEP1
140	Zfpm2
141	ZNF800
142	Bach1
143	Meis1
143	Pknox1
144	TEAD1
144	TEAD4
144	Tead2
144	Tead3
145	CUX1
146	SETDB1
147	L3MBTL3
147	L3MBTL4
148	CEBPZ
149	RBPJ
150	BATF
150	Batf3
151	BATF2
152	TFAM
153	Xbp1
154	HNF1A
154	Hnf1b
155	Atf4
156	CENPT
157	PROX1
158	TFAP2A
158	TFAP2B
158	TFAP2C
159	Foxr2
160	ELF1
160	ELF2
160	Elf4
161	ELF3
161	Ehf
161	Elf5
162	ETV1
162	ETV4
162	Etv5
163	ETS1
163	Ets2
163	Etv2
164	GABPA
165	Erg
165	Fli1
166	ELK3
166	ELK4
166	Elk1
167	ERF
168	Nanog
169	Sub1
170	CENPX
171	SPIB
171	Spi1
172	GPBP1L1
173	ZNF639
174	MTA2
174	MTA3
174	Mta1
175	ETV6
176	MIER3
177	ATF6
178	PHB
179	GATAD2A
179	GATAD2B
180	THAP9
181	RARB
181	RARG
181	Rara
182	RORA
182	Rorb
183	Ppard
183	Pparg
184	Nr1h2
184	Nr1h3
184	Nr1h4
185	THRB
185	Thra
186	NR1I2
186	Nr1i3
187	VDR
188	NR2C1
188	Nr2c2
189	Nr4a1
190	RXRB
190	Rxra
191	HNF4A
191	HNF4G
192	Nr2f1
192	Nr2f2
192	Nr2f6
193	NR2E3
194	Nr5a1
194	Nr5a2
195	ESRRA
195	ESRRG
195	Esrrb
196	ESR2
196	Esr1
197	MYOD1
197	MYOG
198	ZNF488
199	SSRP1
200	ZNF618
201	HSF1
201	HSF2
202	Jarid2
203	MAF1
204	ZNF438
205	ZNF507
206	ZNF518A
207	ZNF518B
208	ZBED1
209	IRF2
209	Irf1
210	TOX
210	TOX2
211	E2F7
212	ZNF280A
212	ZNF280B
212	ZNF280C
212	ZNF280D
213	ADNP
214	LHX2
214	LHX9
215	ISL2
215	Isl1
216	HMGA1
216	HMGA2
217	ZHX2
217	Zhx1
218	ZHX3
219	RUNX1
219	RUNX3
219	Runx2
220	MXD1
220	MXD3
220	MXD4
221	PBRM1
222	SMARCE1
223	ZNF512
224	ZNF512B
225	NFXL1
226	ATF1
226	CREM
226	Creb1
227	CREB3
228	CREB3L1
229	RFX5
230	RFX7
231	NFYA
232	Nfyc
233	Arid2
234	ARNT
235	Arntl
236	CENPA
237	MLXIP
238	ZNF207
239	Usf1
239	Usf2
240	MITF
240	TFE3
240	TFEB
241	GABPB2
241	Gabpb1
242	NFKB1
242	NFKB2
243	REL
243	Rela
244	RELB
245	DBP
245	TEF
246	Nfil3
247	MYB
247	Mybl2
248	LRRFIP1
249	SNAPC4
250	NR0B2
251	Nr0b1
252	Clock
253	NPAS2
254	HMG20A
254	Hmg20b
255	POU2F2
255	POU2F3
255	POU3F2
255	Pou2f1
255	Pou5f1
256	POU6F1
257	TSHZ1
257	TSHZ2
258	WDHD1
259	Tcf15
259	Tcf21
260	ATOH8
261	Neurog1
261	Neurog2
262	NEUROD1
263	THAP7
264	TFDP1
264	TFDP2
265	TERF2
266	Terf1
267	MYC
267	MYCN
268	Bach2
269	ZNF276
270	PRDM4
271	Prdm10
272	MBD2
272	MBD3
273	CSRNP3
274	HOMEZ
275	HINFP
276	ARID4A
276	ARID4B
277	PIAS1
277	PIAS4
278	HMGB1
278	HMGB2
279	ZNF326
280	Aebp2
281	UBTF
282	MAF
282	MAFB
282	MAFK
282	Maff
282	Mafg
282	NRL
283	LCOR
283	LCORL
284	E2F1
284	E2F2
284	E2F3
284	E2F4
284	E2F5
285	E2f6
286	HES1
286	HES4
287	HES6
288	Tfap4
289	DEAF1
290	NRF1
291	HEY1
291	HEY2
292	Bhlhe40
292	Bhlhe41
293	Brg
294	SMARCA1
295	SMARCAL1
296	HMGXB4
297	TTF1
298	WIZ
299	ZNF644
300	MEF2B
300	MEF2D
300	Mef2a
301	Mef2c
302	ZNF704
303	Tcf12
304	USF3
305	SATB1
305	Satb2
306	TET2
307	Prdm2
308	SETBP1
309	THAP8
310	Thap1
311	Mecp2
312	NKRF
313	Atf5
314	Mnt
315	ZNF341
316	CC2D1A
317	Rere
318	AKNA
319	ZBED4
320	ZNF318
321	CASZ1
322	ZNF335
323	Ncor1
323	Ncor2
324	CAMTA2
325	SMARCC1
325	Smarcc2
326	ARID1B
326	Arid1a
327	ZFHX2
327	ZFHX4
328	ZNF462
329	Kmt2c
330	NFATC3
330	NFATC4
330	Nfatc1
330	Nfatc2
331	NFAT5
332	ZNF532
332	ZNF592
332	ZNF687
333	AFF1
333	AFF4
334	Mllt10
335	NFRKB
336	Srf
337	ZNF608
337	ZNF609
338	Bclaf1
339	SON
340	BNC2
341	HMGXB3
342	Arid5b
343	CEBPA
343	CEBPD
343	Cebpb
344	Cebpg
345	FOS
345	FOSB
345	FOSL1
345	Fosl2
346	ATF3
346	JDP2
347	ATF7
347	Atf2
347	Creb5
348	JUN
348	JUNB
348	JUND
349	NFE2
349	NFE2L2
350	Nfe2l1
351	PBX1
351	PBX3
351	Pbx4
352	SIX2
352	SIX4
352	SIX5
352	Six1
353	PAX3
353	PAX8
353	Pax5
353	Pax7
354	PITX1
354	PITX3
355	GSC
356	Otx2
357	PAX6
358	RHOXF2B
359	GATA1
359	GATA3
359	Gata2
359	Gata4
359	Gata6
360	ZGLP1
361	TRPS1
362	TSC22D2
362	TSC22D3
362	TSC22D4
363	DMTF1
364	Foxh1
365	ZNF511
366	FOXP4
366	Foxp1
366	Foxp2
366	Foxp3
367	FOXN1
368	FOXN3
369	FOXK2
369	Foxk1
370	FOXA1
370	FOXA2
370	Foxa3
371	FOXS1
371	Foxc2
371	Foxd3
372	Foxf2
373	FOXJ3
374	FOXO1
374	Foxo3
374	Foxo4
375	FOXM1
376	SOX13
376	SOX5
376	Sox6
377	SOX15
377	SOX2
377	SOX21
377	SOX4
377	Sox11
378	SOX9
378	Sox10
379	SOX18
379	Sox17
380	Lef1
380	TCF3
380	TCF4
380	TCF7L1
380	TCF7L2
380	Tcf7
381	GATAD1
382	TCFL5
383	DUX4
384	ISX
385	HOXC11
385	Hoxa11
386	CDX2
386	CDX4
387	HOXA1
387	HOXD1
388	HOXA3
388	HOXA5
388	HOXA7
388	HOXB5
388	HOXB7
388	HOXC5
388	Hoxa9
388	Hoxb8
388	Hoxc9
389	DLX4
389	DLX6
390	MSX2
391	PHOX2B
391	PRRX2
391	Shox2
392	LBX2
393	MIXL1
394	Hoxa13
394	Hoxb13
395	EMX1
395	MNX1
396	EN1
397	ZNF503
398	INSM1
398	INSM2
399	ZNF414
400	Lyl1
400	TAL1
401	KHSRP
402	Tlx1
403	Plscr1
404	Preb
405	AR
405	Nr3c1
405	Nr3c2
405	PGR
406	RCOR1
406	Rcor2
407	ARID3A
407	ARID3B
408	THAP11
409	ZFP36L2
